SELECT * WHERE {?C0 <http://www.w3.org/2002/07/owl#disjointWith> ?C2.
  ?C1 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C2. 
  ?a0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?C0.
  ?a0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?C1. 
  ?C0 <http://www.w3.org/2002/07/owl#equivalentClass> ?C3. }
C0,C2,C1,a0,C3
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Haiti,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Haiti,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Madagascar,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Madagascar,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Malta,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Malta,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Mexico,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Mexico,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Moldova,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Moldova,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Mozambique,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Mozambique,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Peru,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Peru,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Poland,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Poland,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Romania,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Romania,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Venezuela,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/National_Library_of_Venezuela,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Pavelló_de_la_República_CRAI_Library,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Pavelló_de_la_República_CRAI_Library,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Peninsula_Library_System,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Peninsula_Library_System,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Ponce_Municipal_Library,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Ponce_Municipal_Library,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Queens_Library,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Queens_Library,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Royal_Library_of_Belgium,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Royal_Library_of_Belgium,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Sainte-Barbe_Library,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/Sainte-Barbe_Library,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/San_Francisco_Public_Library,http://www.wikidata.org/entity/Q24229398
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/resource/San_Francisco_Public_Library,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent
