C1,C5,a0,C2,C3,C4,C0
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Lithgow_Public_Library,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Organisation
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Lithuanian_Diplomatic_Service,http://dbpedia.org/ontology/Broadcaster,http://dbpedia.org/ontology/Country,http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Organisation
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Ministry_of_Education_and_Science_(Lithuania),http://dbpedia.org/ontology/GovernmentAgency,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Organisation
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Livingston_Union_School_District,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Organisation
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Livingston_Manor_Central_School_District,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Organisation
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Loma_Prieta_Joint_Union_Elementary_School_District,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Organisation
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Longues-sur-Mer_battery,http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/MilitaryStructure,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Organisation
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Lost_Highway_Records_Australia,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Organisation
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Lost_River_General_Store,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Organisation
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Lower_Dauphin_School_District,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Organisation
