a0,C0,C3,C1,p0,C2,a1
http://dbpedia.org/resource/Tara_Osseck,http://dbpedia.org/ontology/Election,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/SocietalEvent,152.4
http://dbpedia.org/resource/Grigoriy_Andreyev,http://dbpedia.org/ontology/Convention,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/SocietalEvent,180.0
http://dbpedia.org/resource/Stefan_Herbst,http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/SocietalEvent,198.0
http://dbpedia.org/resource/Jack_Wilkinson_(rugby_league),http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/SocietalEvent,152.4
http://dbpedia.org/resource/Kingsley_Bugarin,http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/SocietalEvent,178.0
http://dbpedia.org/resource/Muhammad_Hizlee_Abdul_Rais,http://dbpedia.org/ontology/MilitaryConflict,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/SocietalEvent,152.4
http://dbpedia.org/resource/Vanja_Rogulj,http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/SocietalEvent,180.0
http://dbpedia.org/resource/Phil_Lowe,http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/SocietalEvent,182.88
http://dbpedia.org/resource/Mats_Nilsson_(javelin),http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/SocietalEvent,178.0
http://dbpedia.org/resource/Yuh_Myung-woo,http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/SocietalEvent,162.56
http://dbpedia.org/resource/Josh_Lewsey,http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/weight,http://dbpedia.org/ontology/SocietalEvent,87.0
http://dbpedia.org/resource/Art_Edgson,http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/weight,http://dbpedia.org/ontology/SocietalEvent,83.916
http://dbpedia.org/resource/Ian_Cushenan,http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/weight,http://dbpedia.org/ontology/SocietalEvent,84.8232
