a1,C0,C2,C1,p0,a0
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Egbert_van_der_Poel
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Dominique_Jacques_de_Eerens
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Jan_Wyck
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Hugo_Grotius
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Mattheus_de_Haan
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Philips_Vingboons
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/David_Bailly
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Carel_Fabritius
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Pieter_van_Musschenbroek
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Herman_Willem_Daendels
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Pieter_de_Groot
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Cornelis_de_Witt
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Willem_van_de_Velde_the_Elder
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Constantijn_Huygens_Jr.
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Cornelis_van_der_Lijn
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/William_Burnet_(colonial_administrator)
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Willem_Arnold_Alting
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Gerrit_van_Santen
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Pieter_van_Reede_van_Oudtshoorn
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Bernard_Mandeville
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Johannes_van_den_Bosch
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Jan_Lievens
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Antonie_van_Leeuwenhoek
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Love_Brewster
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Frederick_Henry_Prince_of_Orange
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Hendrik_Merkus_de_Kock
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Adriaen_van_der_Donck
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Burchard_de_Volder
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Frans_van_Mieris_the_Elder
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Joan_Maetsuycker
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Jan_de_Baen
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Christoffel_van_Swoll
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Johannes_Fabritius
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Paulus_Potter
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Johannes_Camphuys
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Adriana_van_Tongeren
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Gilbertus_Happart
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/William_IV_Prince_of_Orange
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Willebrord_Snellius
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Anthony_van_Diemen
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Sophia_of_Hanover
http://dbpedia.org/resource/Dutch_Republic,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/birthPlace,http://dbpedia.org/resource/Jean_Chrétien_Baud
